id,city,area,property_type,bedrooms,bathrooms,nightly_price_usd,review_score,occupancy_rate,distance_to_beach_km,distance_to_airport_km,num_reviews,amenities,annual_revenue_usd,property_price_usd,roi_pct,investment_score,latitude,longitude
DXB0143,Dubai,Business Bay,Penthouse,4,5,1150,4.39,0.68,4.8,15.4,195,Parking|WiFi|Doorman|Balcony|Sea View|Pool|Kitchen,205510,2819094,7.29,86,25.1068,55.2394
DXB0144,Dubai,Deira,Apartment,4,3,167,4.85,0.82,5.3,31.0,228,Gym|Parking|AC|WiFi|Sea View|Doorman,35988,497163,7.24,92,25.125,55.4022
DXB0145,Dubai,JVC,Villa,3,3,556,4.62,0.74,6.0,31.4,196,Balcony|Pool|Doorman|AC,108126,1213149,8.91,97,25.2231,54.9175
DXB0146,Dubai,Downtown Dubai,Penthouse,0,1,746,3.95,0.61,6.0,29.5,337,Pool|Washer|Gym|Balcony|Kitchen,119590,1342739,8.91,89,25.1993,55.2045
DXB0147,Dubai,JBR,Villa,1,1,447,4.14,0.74,7.9,12.8,45,Sea View|Parking|Doorman|WiFi|AC|Pool,86929,1129582,7.7,87,25.0804,55.224
DXB0148,Dubai,Dubai Marina,Studio,1,1,163,3.93,0.81,4.4,15.3,29,Doorman|Kitchen|Balcony|Pool|Parking|Gym|Washer|Sea View,34697,493954,7.02,83,25.0796,55.4592
DXB0149,Dubai,Downtown Dubai,Penthouse,4,4,1198,4.92,0.77,0.6,26.2,268,Gym|Sea View|Pool|Washer,242422,2849334,8.51,100,24.7404,55.2493
DXB0150,Dubai,DIFC,Villa,1,1,644,4.55,0.47,7.0,34.1,273,Pool|Washer|WiFi|AC|Sea View|Gym|Doorman,79544,1135537,7.0,81,25.1498,54.9781
DXB0151,Dubai,JBR,Apartment,4,5,362,3.83,0.46,2.7,28.1,134,Kitchen|Doorman|Pool|WiFi|Balcony|Sea View|Washer|Gym,43761,545149,8.03,81,25.11,55.1675
DXB0152,Dubai,Dubai Marina,Studio,0,1,112,5.0,0.65,3.7,28.8,284,Gym|Washer|Parking|Pool|Sea View,19132,215017,8.9,98,25.1162,55.0325
DXB0153,Dubai,JBR,Villa,3,4,643,4.62,0.76,2.3,9.5,108,Parking|Doorman|Gym|Washer|WiFi|Pool|Kitchen,128425,1822446,7.05,88,24.9594,55.4662
DXB0154,Dubai,Dubai Marina,Villa,0,1,439,4.57,0.64,2.3,17.3,151,Kitchen|Balcony|Sea View|Parking|Pool|Gym,73836,1056956,6.99,85,25.2365,55.038
DXB0155,Dubai,JBR,Apartment,2,2,230,3.84,0.76,3.0,19.2,230,Washer|Balcony|Kitchen|Doorman,45937,636978,7.21,83,25.2809,55.0113
DXB0156,Dubai,Dubai Hills,Studio,1,1,133,4.73,0.81,6.8,23.8,225,Washer|Kitchen|AC|Balcony|Pool|WiFi|Doorman,28311,381599,7.42,91,24.7787,54.9195
DXB0157,Dubai,DIFC,Villa,4,4,1216,4.54,0.82,3.9,8.8,233,Gym|Doorman|Washer|Sea View|Parking|Balcony,262043,2899481,9.04,98,25.1113,55.1582
DXB0158,Dubai,DIFC,Penthouse,1,2,819,4.39,0.48,4.7,28.9,145,Washer|Sea View|Pool|Doorman|Parking|AC|WiFi,103312,1201903,8.6,88,24.8862,55.1731
DXB0159,Dubai,Dubai Marina,Apartment,3,3,269,3.89,0.63,3.9,13.7,39,Parking|Pool|Doorman|Balcony|AC|WiFi|Kitchen|Washer,44537,573417,7.77,83,25.117,55.4161
DXB0160,Dubai,Downtown Dubai,Studio,2,2,221,3.85,0.68,0.9,34.6,75,Pool|Parking|Sea View|Kitchen|Balcony|WiFi|Doorman|Washer,39494,455471,8.67,90,24.7855,55.1993
DXB0161,Dubai,Deira,Studio,3,3,109,4.64,0.71,0.2,20.5,270,WiFi|Gym|Pool|Washer|Kitchen|Doorman,20338,240990,8.44,100,24.7527,55.1104
DXB0162,Dubai,Dubai Hills,Townhouse,0,1,206,3.89,0.64,1.1,25.7,67,Sea View|WiFi|AC|Washer|Kitchen|Gym,34648,441876,7.84,85,25.1804,55.0201
DXB0163,Dubai,Palm Jumeirah,Apartment,3,2,416,3.93,0.75,5.7,33.1,158,Gym|Washer|Kitchen|Sea View|Pool|AC|Parking,81994,880898,9.31,93,24.7312,55.2248
DXB0164,Dubai,Palm Jumeirah,Villa,2,3,1052,4.85,0.79,6.4,29.4,18,Gym|WiFi|Parking|Doorman|Kitchen,218408,2598605,8.4,97,24.7481,55.4369
DXB0165,Dubai,JBR,Townhouse,4,4,568,4.78,0.66,5.2,26.9,274,Kitchen|Parking|Gym|Pool|Doorman|WiFi|AC,98518,1241229,7.94,92,24.749,54.9362
DXB0166,Dubai,Dubai Hills,Penthouse,4,3,887,3.99,0.86,1.8,15.1,269,Washer|Gym|Sea View|WiFi|Doorman,200469,2863598,7.0,85,24.8093,55.3738
DXB0167,Dubai,JBR,Villa,4,5,880,4.4,0.71,5.8,34.9,89,Parking|Doorman|Balcony|AC|Pool|Washer|Gym|WiFi,164197,1885262,8.71,93,25.2849,55.2902
DXB0168,Dubai,Palm Jumeirah,Studio,1,1,200,4.62,0.48,0.3,18.9,325,AC|Gym|Doorman|Kitchen|Washer|Sea View|Parking|Pool,25229,292437,8.63,96,25.221,55.3363
DXB0169,Dubai,Business Bay,Townhouse,4,3,558,4.31,0.61,3.0,6.2,26,Parking|Doorman|Kitchen|Washer|AC|Balcony|Sea View|WiFi,89452,1281730,6.98,82,25.2202,55.2472
DXB0170,Dubai,Dubai Marina,Apartment,0,1,177,4.67,0.68,7.0,17.7,284,AC|WiFi|Balcony|Doorman|Washer|Pool|Kitchen|Parking,31631,442917,7.14,87,24.8661,55.2554
DXB0171,Dubai,Business Bay,Studio,3,2,205,4.05,0.74,5.1,8.9,217,AC|Sea View|Gym|Washer|Pool|Kitchen|WiFi,39867,533188,7.48,85,25.1295,55.4454
DXB0172,Dubai,Silicon Oasis,Penthouse,1,1,362,4.09,0.91,1.5,19.8,268,Parking|Washer|Kitchen|Sea View|Doorman|WiFi|Gym|AC,86572,1197199,7.23,88,24.8483,55.4224
DXB0173,Dubai,Deira,Apartment,2,1,133,4.42,0.62,4.8,16.7,153,Gym|AC|Sea View|Doorman|Balcony|Pool|Kitchen,21670,243532,8.9,93,25.2816,55.0549
DXB0174,Dubai,Dubai Hills,Townhouse,3,2,440,4.19,0.81,1.1,18.6,260,Washer|Doorman|WiFi|Balcony|Gym,93662,1335791,7.01,87,24.8416,54.9441
DXB0175,Dubai,Deira,Penthouse,3,3,473,4.42,0.61,6.6,12.5,303,Pool|Gym|Balcony|AC|WiFi|Kitchen|Sea View,75826,928173,8.17,89,25.0703,55.3241
DXB0176,Dubai,JBR,Apartment,0,1,151,4.0,0.47,5.9,19.2,73,Doorman|Sea View|AC|Kitchen|Pool|Washer|WiFi,18651,244594,7.63,80,25.2065,55.3834
DXB0177,Dubai,Business Bay,Studio,3,3,187,4.84,0.55,1.0,6.7,288,Balcony|Pool|WiFi|Parking,27029,314525,8.59,95,25.0187,55.462
DXB0178,Dubai,Business Bay,Apartment,3,4,235,3.95,0.66,7.5,20.2,411,Kitchen|AC|Gym|Sea View|Pool|WiFi|Parking,40760,481399,8.47,87,24.7249,54.989
DXB0179,Dubai,JBR,Townhouse,2,1,481,4.96,0.45,7.6,31.0,28,Doorman|Kitchen|Balcony|AC|Pool,56883,740713,7.68,87,24.9728,55.2094
DXB0180,Dubai,Dubai Marina,Villa,2,2,673,4.6,0.52,0.3,26.1,320,Sea View|Parking|Kitchen|Doorman|AC|Balcony|Gym|WiFi,91969,1083371,8.49,96,24.8211,55.3041
DXB0181,Dubai,Business Bay,Townhouse,2,3,445,3.91,0.77,3.6,10.3,61,Kitchen|Sea View|AC|WiFi|Pool|Parking|Doorman|Balcony,90048,1249914,7.2,83,25.1156,55.4029
DXB0182,Dubai,Dubai Hills,Townhouse,2,3,408,4.62,0.68,5.0,22.1,405,Doorman|Sea View|AC|Washer,72911,1012252,7.2,87,24.7182,55.4586
DXB0183,Dubai,DIFC,Townhouse,1,2,476,4.61,0.55,5.3,24.5,327,Doorman|Sea View|Parking|AC,68801,832629,8.26,90,24.764,55.2947
DXB0184,Dubai,DIFC,Penthouse,1,2,1035,3.86,0.91,3.3,28.5,165,Pool|Gym|WiFi|Doorman|Sea View,247518,3438106,7.2,86,25.0402,55.3431
DXB0185,Dubai,Dubai Hills,Villa,3,4,702,4.28,0.6,5.4,27.9,377,Balcony|Kitchen|Sea View|Doorman|Washer,110691,1511422,7.32,83,25.1787,55.1613
DXB0186,Dubai,Dubai Marina,Villa,4,3,986,3.94,0.71,0.1,16.0,186,Washer|Sea View|Balcony|Parking|Gym|WiFi|Kitchen|AC,183976,2178680,8.44,100,24.9377,55.3173
DXB0187,Dubai,Business Bay,Townhouse,3,2,440,4.34,0.56,3.0,7.2,399,AC|Kitchen|Doorman|Gym|Parking,64754,743199,8.71,90,25.0621,55.3009
DXB0188,Dubai,Business Bay,Villa,3,3,707,4.36,0.63,6.9,19.4,207,Washer|Kitchen|AC|Parking|Pool|Sea View|WiFi,117054,1471551,7.95,88,24.7154,55.1047
DXB0189,Dubai,JBR,Villa,2,1,607,4.28,0.72,4.3,27.9,114,Gym|Washer|Sea View|Kitchen|Parking|WiFi,114854,1482150,7.75,88,25.1878,55.3309
DXB0190,Dubai,Downtown Dubai,Townhouse,2,3,580,3.82,0.54,0.2,31.9,120,Parking|Gym|WiFi|Kitchen|Pool|AC,82309,1074382,7.66,90,24.8461,55.4562
DXB0191,Dubai,Downtown Dubai,Apartment,0,1,177,4.92,0.62,0.9,12.7,213,Sea View|Gym|Parking|Pool|AC|Kitchen,28840,358972,8.03,94,24.8709,55.0844
DXB0192,Dubai,Silicon Oasis,Penthouse,1,1,436,4.45,0.6,4.9,13.2,278,AC|Pool|Gym|Washer|Doorman|Sea View,68748,915075,7.51,86,24.9481,54.9731
DXB0193,Dubai,Dubai Marina,Villa,3,2,712,4.62,0.54,4.2,8.2,153,Balcony|Sea View|Parking|Washer,101041,1342221,7.53,86,25.0404,55.0539
DXB0194,Dubai,Dubai Marina,Apartment,2,3,307,4.38,0.83,4.4,24.0,263,Gym|Washer|AC|WiFi|Kitchen|Sea View|Balcony|Pool,66964,722394,9.27,98,25.2708,55.261
DXB0195,Dubai,Silicon Oasis,Studio,1,1,88,4.86,0.56,1.8,17.3,382,Parking|Sea View|AC|Washer|Gym|Pool,12951,167277,7.74,90,25.2039,55.44
DXB0196,Dubai,JBR,Studio,4,5,214,4.08,0.82,2.3,17.7,49,Parking|Balcony|Kitchen|AC|Doorman,46116,632241,7.29,86,25.1005,54.9573
DXB0197,Dubai,Dubai Hills,Apartment,1,1,187,4.34,0.73,1.4,30.9,390,Washer|WiFi|Pool|Parking|Kitchen|Gym|Doorman,35875,480304,7.47,88,24.83,54.9574
DXB0198,Dubai,Business Bay,Studio,2,3,134,4.57,0.74,4.4,16.7,162,Pool|AC|Washer|Sea View|Gym|Doorman|Kitchen|Balcony,26059,299543,8.7,95,25.0567,55.1981
DXB0199,Dubai,Palm Jumeirah,Penthouse,4,5,2018,3.96,0.78,3.3,26.5,73,Gym|AC|Washer|Kitchen|Doorman|Sea View,413658,5059347,8.18,89,25.1155,55.4948
DXB0200,Dubai,Silicon Oasis,Villa,3,4,373,3.92,0.79,4.7,7.4,391,Washer|Balcony|Sea View|Kitchen|AC|Gym|Doorman|Parking,77439,902405,8.58,90,24.7514,55.4365
DXB0201,Dubai,DIFC,Apartment,4,4,392,4.19,0.56,2.9,20.6,279,Washer|Gym|Kitchen|Pool|AC|Doorman|Sea View|Parking,57690,627975,9.19,91,24.7406,55.3802
DXB0202,Dubai,Palm Jumeirah,Villa,2,3,911,4.45,0.86,5.2,14.7,237,Gym|WiFi|Sea View|Pool|AC|Kitchen|Balcony,205893,2599109,7.92,93,24.8998,55.3017
DXB0203,Dubai,Palm Jumeirah,Townhouse,3,3,884,4.59,0.71,5.9,6.8,6,Pool|Kitchen|Sea View|Washer|Parking|Doorman|WiFi|Gym,164944,2040278,8.08,92,25.0374,55.4746
DXB0204,Dubai,Downtown Dubai,Townhouse,0,1,307,4.63,0.54,4.3,18.5,214,Washer|Gym|Pool|Sea View|WiFi|Balcony|Parking,43567,478694,9.1,94,25.1537,55.1085
DXB0205,Dubai,Palm Jumeirah,Villa,3,3,1212,4.75,0.89,2.0,9.6,339,Sea View|Balcony|Kitchen|Pool|Washer|AC|Gym,283477,3436431,8.25,98,25.2955,55.4562
DXB0206,Dubai,JBR,Apartment,1,2,213,4.81,0.69,5.0,27.7,242,Kitchen|Parking|WiFi|Balcony|Pool|Washer|Doorman,38624,423289,9.12,98,24.7766,55.3956
DXB0207,Dubai,Deira,Penthouse,4,4,651,4.65,0.47,2.5,15.8,101,WiFi|Sea View|Washer|Gym|Parking,80409,933683,8.61,90,24.7526,55.4622
DXB0208,Dubai,JVC,Apartment,3,4,213,4.17,0.64,3.6,20.5,309,WiFi|Doorman|Gym|Pool,35825,461327,7.77,86,25.2516,55.1982
DXB0209,Dubai,Dubai Marina,Penthouse,4,5,1377,4.82,0.55,7.5,29.5,124,WiFi|Pool|Balcony|Doorman,199032,2201567,9.04,95,24.9284,55.4268
DXB0210,Dubai,Deira,Villa,0,1,250,4.77,0.82,2.5,17.1,78,AC|WiFi|Washer|Doorman|Balcony|Parking|Gym|Kitchen,53874,588759,9.15,100,24.8041,55.317
DXB0211,Dubai,Deira,Villa,3,3,376,4.97,0.75,6.6,30.9,289,Pool|Kitchen|Parking|Washer|Balcony|WiFi,74110,824249,8.99,100,25.2537,55.1922
DXB0212,Dubai,Silicon Oasis,Apartment,2,3,149,4.72,0.53,4.1,9.4,99,Kitchen|Washer|Balcony|WiFi|Gym|Parking|Sea View,20753,251526,8.25,90,24.9205,54.9409
DXB0213,Dubai,Deira,Penthouse,1,1,322,3.96,0.9,4.4,18.0,290,Parking|Sea View|Pool|AC|WiFi|Washer,76159,1085025,7.02,85,24.8871,55.2037
DXB0214,Dubai,Deira,Villa,3,2,387,3.93,0.75,1.8,24.5,279,WiFi|Washer|Gym|Doorman|Parking|Pool,76278,987682,7.72,86,24.7912,54.9368
DXB0215,Dubai,Downtown Dubai,Apartment,2,2,332,4.35,0.48,8.0,25.9,111,Doorman|Pool|Gym|Sea View|AC|Washer|Balcony|WiFi,41880,454049,9.22,91,25.2902,55.0435
DXB0216,Dubai,JBR,Studio,0,1,100,3.95,0.59,0.9,6.9,365,Gym|Sea View|WiFi|Washer|AC,15505,204985,7.56,83,25.0057,55.498
DXB0217,Dubai,Downtown Dubai,Penthouse,1,2,930,4.54,0.59,5.0,17.8,162,AC|Balcony|Sea View|Doorman|Washer|Parking,144198,1817097,7.94,88,24.7784,55.432
DXB0218,Dubai,Business Bay,Studio,4,4,205,4.03,0.62,3.4,27.0,28,Gym|Sea View|Washer|Doorman|Parking|Kitchen|WiFi,33402,458552,7.28,82,25.1616,54.9066
DXB0219,Dubai,DIFC,Villa,1,1,658,4.38,0.46,2.2,9.1,122,Kitchen|Balcony|AC|Gym|Doorman|Parking,79544,1071942,7.42,82,25.0212,55.0291
DXB0220,Dubai,Dubai Hills,Townhouse,1,1,256,4.09,0.91,6.4,19.6,380,Washer|AC|Sea View|Doorman|Balcony|WiFi|Kitchen|Pool,61222,870786,7.03,86,24.7658,55.2288
DXB0221,Dubai,JBR,Villa,1,2,518,4.81,0.5,4.0,14.7,216,Sea View|Parking|Pool|AC|Doorman|Washer|Balcony|WiFi,68065,761490,8.94,94,25.1424,55.1856
DXB0222,Dubai,Palm Jumeirah,Villa,0,1,635,4.27,0.67,6.3,33.7,321,Pool|WiFi|Sea View|Parking|Doorman,111808,1561993,7.16,84,25.1721,55.0892
DXB0223,Dubai,DIFC,Penthouse,3,2,1331,4.33,0.57,6.7,32.1,13,Kitchen|Doorman|Balcony|Pool,199378,2147121,9.29,93,24.9769,55.2823
DXB0224,Dubai,Deira,Studio,4,4,126,4.87,0.75,5.0,20.6,54,Kitchen|Balcony|Parking|Pool,24835,270079,9.2,100,24.7901,55.3425
DXB0225,Dubai,Deira,Villa,1,1,282,4.62,0.47,0.8,7.2,240,Kitchen|AC|Washer|Parking|WiFi|Pool|Balcony|Gym,34832,463656,7.51,86,24.7428,54.9073
DXB0226,Dubai,DIFC,Villa,1,1,767,4.69,0.62,2.4,28.2,198,Pool|Gym|Balcony|WiFi,124972,1491714,8.38,93,25.0968,55.0111
DXB0227,Dubai,Deira,Penthouse,0,1,271,3.92,0.76,6.1,5.6,227,Parking|Gym|Sea View|Balcony,54126,628886,8.61,90,24.7493,55.4807
DXB0228,Dubai,JBR,Townhouse,0,1,263,4.72,0.74,3.1,8.6,28,WiFi|Doorman|Sea View|Parking,51146,582877,8.77,97,25.069,55.3648
DXB0229,Dubai,JVC,Studio,4,5,167,4.44,0.47,7.8,13.8,305,Parking|Washer|Pool|Gym,20627,280943,7.34,82,25.288,55.2611
DXB0230,Dubai,Palm Jumeirah,Penthouse,0,1,902,4.7,0.83,5.3,15.1,174,Doorman|WiFi|Balcony|Washer|AC,196748,2184957,9.0,100,25.2569,55.0348
DXB0231,Dubai,Dubai Hills,Villa,0,1,346,4.32,0.66,4.9,12.2,314,Pool|Gym|Balcony|Kitchen|Doorman|Parking,60013,849876,7.06,83,24.7729,55.0185
DXB0232,Dubai,DIFC,Townhouse,3,3,703,4.57,0.58,6.5,30.4,187,AC|Sea View|Kitchen|Gym,107154,1484633,7.22,85,25.2514,55.0513
DXB0233,Dubai,Deira,Penthouse,3,2,565,4.35,0.85,5.9,24.7,83,Balcony|Gym|AC|Doorman|Kitchen|Pool|Sea View|Washer,126210,1708464,7.39,89,24.8065,55.227
DXB0234,Dubai,Dubai Hills,Villa,3,3,722,4.92,0.47,1.4,26.8,394,Gym|Doorman|Pool|Parking|WiFi|Balcony,89179,991580,8.99,95,25.1907,55.0281
DXB0235,Dubai,Business Bay,Apartment,1,1,195,4.81,0.79,4.4,20.3,50,Balcony|Sea View|Doorman|Pool|Kitchen,40484,519766,7.79,94,24.8785,55.239
DXB0236,Dubai,JBR,Townhouse,0,1,296,4.85,0.75,6.1,18.8,291,Washer|Balcony|Pool|Parking|WiFi|Doorman|Sea View|Kitchen,58342,654905,8.91,99,24.7056,55.048
DXB0237,Dubai,Downtown Dubai,Townhouse,4,3,726,4.99,0.5,3.3,11.1,37,Parking|Doorman|AC|Kitchen|Balcony|WiFi|Gym,95396,1299796,7.34,87,25.0331,55.3398
DXB0238,Dubai,Palm Jumeirah,Penthouse,2,2,1366,4.03,0.62,6.3,5.2,309,Sea View|Gym|Washer|Parking|Kitchen|WiFi,222571,2827397,7.87,84,25.1566,54.9212
DXB0239,Dubai,DIFC,Villa,3,2,1015,4.04,0.9,3.0,9.5,199,AC|Pool|Balcony|Parking|Doorman,240068,2845044,8.44,93,24.8834,55.426
DXB0240,Dubai,JBR,Penthouse,2,2,965,4.24,0.66,5.8,22.8,95,Parking|AC|Washer|Kitchen|Sea View|Gym|WiFi|Balcony,167377,2334614,7.17,83,24.9349,55.1476
DXB0241,Dubai,Dubai Hills,Studio,2,3,152,3.8,0.74,2.9,7.8,63,Doorman|WiFi|Washer|Kitchen|Parking|Balcony|Sea View,29560,402112,7.35,83,25.0529,55.1886
DXB0242,Dubai,DIFC,Villa,4,5,1126,3.88,0.72,4.5,23.1,229,Kitchen|Pool|Sea View|Washer|Gym,213057,2711678,7.86,85,25.1059,55.383
DXB0243,Dubai,Business Bay,Apartment,3,4,254,4.79,0.68,0.7,15.0,409,Parking|AC|WiFi|Doorman|Washer|Gym|Sea View,45391,492246,9.22,100,25.1709,55.3246
DXB0244,Dubai,Dubai Hills,Apartment,3,4,274,4.42,0.66,1.3,18.0,60,Doorman|Balcony|Kitchen|AC|Pool|Parking|Washer,47525,563443,8.43,92,24.7532,55.0324
DXB0245,Dubai,Downtown Dubai,Studio,1,2,175,4.68,0.92,7.5,17.6,137,Pool|Balcony|Washer|Kitchen|WiFi|Doorman|AC|Sea View,42311,551508,7.67,94,25.0817,55.3714
DXB0246,Dubai,Downtown Dubai,Townhouse,4,5,602,4.29,0.84,3.1,22.6,17,Doorman|WiFi|Sea View|Parking|Kitchen|Washer|Gym|AC,132893,1696980,7.83,91,24.8107,55.1173
DXB0247,Dubai,Silicon Oasis,Apartment,2,2,137,3.83,0.46,6.7,20.5,180,Gym|Parking|Washer|Kitchen,16562,192931,8.58,83,24.8792,55.4644
DXB0248,Dubai,Silicon Oasis,Villa,4,4,445,4.32,0.86,6.8,29.1,168,Sea View|Gym|Doorman|Washer|Balcony|WiFi,100574,1138787,8.83,96,24.9749,55.1898
DXB0249,Dubai,JVC,Studio,0,1,71,3.9,0.79,4.0,26.9,414,Pool|Washer|Gym|Kitchen,14740,180759,8.15,88,25.1593,54.9953
DXB0250,Dubai,Palm Jumeirah,Villa,4,3,1364,3.96,0.8,5.3,7.1,332,Parking|Washer|Balcony|WiFi|Gym|Sea View|Kitchen|Pool,286767,4075620,7.04,83,24.7342,55.0693
DXB0251,Dubai,Dubai Hills,Penthouse,0,1,446,4.1,0.88,2.1,27.8,390,WiFi|Sea View|Balcony|Doorman|Pool|Gym|AC|Kitchen,103144,1201092,8.59,94,24.9698,55.366
DXB0252,Dubai,JVC,Townhouse,0,1,174,4.39,0.47,0.6,9.2,139,Washer|Doorman|WiFi|Sea View|Pool,21492,301407,7.13,84,25.0195,55.1467
DXB0253,Dubai,Silicon Oasis,Townhouse,2,3,229,4.88,0.46,5.3,21.8,349,Doorman|Balcony|Gym|Parking|Kitchen|WiFi|Sea View,27683,394143,7.02,84,25.2621,54.9314
DXB0254,Dubai,Business Bay,Townhouse,4,3,507,4.11,0.79,7.9,24.6,98,Washer|Gym|WiFi|Parking|Pool,105259,1219635,8.63,92,24.8189,55.2392
DXB0255,Dubai,JBR,Villa,4,4,831,4.97,0.74,2.9,9.5,289,Doorman|Parking|Balcony|WiFi|Gym|Sea View|Washer,161606,1786208,9.05,100,24.8352,55.0506
DXB0256,Dubai,Palm Jumeirah,Penthouse,2,1,1459,4.47,0.7,1.0,26.7,9,Washer|Sea View|Pool|Balcony|Parking,268398,3717453,7.22,88,24.7406,55.3247
DXB0257,Dubai,Silicon Oasis,Villa,1,1,304,3.9,0.67,3.9,33.4,90,Kitchen|Sea View|Balcony|Washer|WiFi|Doorman|AC|Gym,53527,602000,8.89,90,25.21,55.3014
DXB0258,Dubai,JVC,Townhouse,0,1,198,4.29,0.76,4.4,20.4,404,Pool|AC|WiFi|Kitchen|Parking|Gym,39546,429411,9.21,96,25.1838,55.1755
DXB0259,Dubai,Silicon Oasis,Townhouse,3,4,242,4.74,0.54,2.1,14.9,230,Gym|Doorman|AC|Balcony|Sea View|Parking|Pool|Washer,34343,386106,8.89,94,25.1541,55.2116
DXB0260,Dubai,Deira,Villa,3,2,359,4.85,0.86,7.0,18.5,49,AC|Pool|Sea View|Parking|Balcony,81137,934738,8.68,100,25.291,55.3632
DXB0261,Dubai,Silicon Oasis,Apartment,1,1,103,3.88,0.67,7.3,19.9,296,Washer|Balcony|Parking|AC|Gym|Doorman|Kitchen|Pool,18136,229332,7.91,84,24.7633,55.2941
DXB0262,Dubai,JBR,Townhouse,2,3,461,4.26,0.81,7.7,20.7,389,Parking|Washer|AC|Doorman|Sea View|Balcony|Pool|WiFi,98132,1117638,8.78,94,24.8723,55.3757
DXB0263,Dubai,Dubai Hills,Apartment,2,3,221,4.56,0.83,3.2,21.0,131,Parking|WiFi|Doorman|Washer|Sea View,48205,677598,7.11,89,24.7948,55.3175
DXB0264,Dubai,Dubai Hills,Penthouse,1,2,653,4.18,0.85,7.3,34.5,211,Balcony|Doorman|Sea View|Pool|Washer|Kitchen,145867,1701304,8.57,94,24.7844,55.0212
DXB0265,Dubai,Deira,Studio,2,2,81,4.87,0.76,1.3,23.5,412,Washer|Pool|Gym|Doorman|WiFi|Parking|Kitchen,16178,198605,8.15,96,24.7501,55.4294
DXB0266,Dubai,Deira,Penthouse,1,1,409,4.41,0.9,3.4,25.0,177,Sea View|AC|Washer|Balcony|Parking,96737,1384830,6.99,89,25.0808,54.9996
DXB0267,Dubai,Deira,Townhouse,1,2,209,4.31,0.53,0.2,20.8,68,Washer|Pool|Kitchen|Sea View|Doorman|WiFi|Balcony,29110,370398,7.86,94,25.1316,55.4342
DXB0268,Dubai,Palm Jumeirah,Penthouse,3,2,1346,4.68,0.54,6.9,21.2,133,WiFi|Parking|AC|Gym|Kitchen|Pool|Washer,191014,2616221,7.3,85,25.1261,55.0886
DXB0269,Dubai,JVC,Studio,1,1,99,4.79,0.67,2.9,29.8,114,AC|WiFi|Balcony|Washer|Pool|Sea View|Doorman,17432,217522,8.01,92,24.9011,55.0043
DXB0270,Dubai,Silicon Oasis,Apartment,1,2,128,4.79,0.5,2.0,15.4,180,Kitchen|Sea View|Pool|Doorman|Washer,16819,187656,8.96,94,24.9702,55.3493
DXB0271,Dubai,JVC,Penthouse,1,1,523,4.55,0.62,6.7,34.4,417,WiFi|Balcony|Gym|Washer,85216,1056025,8.07,89,25.0805,54.9758
DXB0272,Dubai,JVC,Apartment,2,2,190,4.19,0.77,0.7,30.7,40,Parking|Balcony|Doorman|Washer|Kitchen|Gym,38448,433724,8.86,96,24.8363,55.4022
DXB0273,Dubai,Deira,Townhouse,0,1,140,4.57,0.78,4.1,11.4,82,Sea View|Washer|WiFi|Kitchen|Balcony,28698,337773,8.5,95,24.7199,55.0824
DXB0274,Dubai,Dubai Hills,Townhouse,3,2,439,4.93,0.86,6.2,24.9,378,Gym|Parking|Doorman|AC,99218,1347547,7.36,94,24.8562,55.4443
DXB0275,Dubai,Dubai Hills,Studio,3,3,177,4.47,0.5,3.6,30.9,312,WiFi|AC|Gym|Sea View|Kitchen,23258,287268,8.1,87,25.028,55.1282
DXB0276,Dubai,DIFC,Townhouse,2,3,617,3.93,0.65,0.4,32.5,205,AC|WiFi|Kitchen|Washer,105396,1412269,7.46,87,24.868,55.415
DXB0277,Dubai,Business Bay,Apartment,1,1,183,4.89,0.8,6.5,33.9,189,Gym|WiFi|Sea View|Washer|AC|Pool|Balcony,38474,411384,9.35,100,25.136,55.0829
DXB0278,Dubai,JBR,Villa,3,4,808,4.14,0.86,1.0,21.2,305,Washer|Kitchen|Parking|Balcony|WiFi|Pool|AC,182614,2422160,7.54,90,24.7579,55.0451
DXB0279,Dubai,JVC,Apartment,2,1,154,4.36,0.59,4.8,14.0,369,Pool|Balcony|AC|Washer,23878,280319,8.52,90,25.1459,54.9289
DXB0280,Dubai,Deira,Penthouse,3,4,588,4.82,0.76,4.8,10.6,266,Gym|Kitchen|Parking|Sea View|Pool|Balcony|Washer,117440,1640770,7.16,90,24.7474,55.0437
DXB0281,Dubai,Downtown Dubai,Villa,4,4,1110,3.84,0.72,8.0,20.6,130,Doorman|Gym|AC|Washer|WiFi|Kitchen|Pool,210030,2905526,7.23,82,24.7382,55.3988
DXB0282,Dubai,JVC,Penthouse,0,1,412,3.94,0.49,7.3,29.9,367,Doorman|Pool|AC|Washer|Balcony|Gym|Kitchen|WiFi,53054,696838,7.61,80,25.2274,55.2431
DXB0283,Dubai,Palm Jumeirah,Apartment,1,1,332,4.32,0.6,3.5,23.1,388,Kitchen|Doorman|AC|Gym|Parking|Balcony,52350,708141,7.39,84,25.2355,55.166
DXB0284,Dubai,Business Bay,Apartment,0,1,161,4.56,0.73,5.7,20.4,259,AC|Kitchen|Gym|Parking|Washer|Doorman|Pool,30887,355675,8.68,95,24.7625,55.1307
DXB0285,Dubai,Silicon Oasis,Townhouse,2,1,239,4.58,0.9,4.8,20.2,121,Doorman|Parking|Washer|Gym|Kitchen|Pool|AC,56528,758237,7.46,92,25.0805,54.9426
